check_id,check_syntax,description
216,invalid_count({column_name}) = {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is equal to the given {threshold}, ensuring the format is a standard credit card numbers."
217,invalid_count({column_name}) < {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is a standard credit card numbers."
218,invalid_count({column_name}) > {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is a standard credit card numbers."
219,invalid_count({column_name}) <= {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is a standard credit card numbers."
220,invalid_count({column_name}) >= {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is a standard credit card numbers."
221,invalid_count({column_name}) != {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a standard credit card numbers."
222,invalid_count({column_name}) <> {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a standard credit card numbers."
223,invalid_count({column_name}) between {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is a standard credit card numbers."
224,invalid_count({column_name}) not between {threshold}:\n  - valid format: credit card number,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is a standard credit card numbers."
225,invalid_count({column_name}) = {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is equal to the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
226,invalid_count({column_name}) < {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
227,invalid_count({column_name}) > {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
228,invalid_count({column_name}) <= {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
229,invalid_count({column_name}) >= {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
230,invalid_count({column_name}) != {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
231,invalid_count({column_name}) <> {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
232,invalid_count({column_name}) between {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
233,invalid_count({column_name}) not between {threshold}:\n  - valid format: date eu,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is a date: dd/mm/yyyy (excluding time) a date (excluding time): dd/mm/yyyy"
234,invalid_count({column_name}) = {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is equal to the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
235,invalid_count({column_name}) < {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
236,invalid_count({column_name}) > {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
237,invalid_count({column_name}) <= {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is less or falls within the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
238,invalid_count({column_name}) >= {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} exceeds or falls within the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
239,invalid_count({column_name}) != {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
240,invalid_count({column_name}) <> {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is not equal to the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
241,invalid_count({column_name}) between {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is between the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
242,invalid_count({column_name}) not between {threshold}:\n  - valid format: date inverse,"Checks if the invalid count for {column_name} is not between the given {threshold}, ensuring the format is a date (excluding time): yyyy/mm/dd"
243,invalid_count({column_name}) = {threshold}:\n  - valid format: date iso 8601,"Checks if the invalid count for {column_name} is equal to the given {threshold}, ensuring the format is ISO 8601 for date and/or time"
244,invalid_count({column_name}) < {threshold}:\n  - valid format: date iso 8601,"Checks if the invalid count for {column_name} is less than the given {threshold}, ensuring the format is ISO 8601 for date and/or time"
245,invalid_count({column_name}) > {threshold}:\n  - valid format: date iso 8601,"Checks if the invalid count for {column_name} is exceeds the given {threshold}, ensuring the format is ISO 8601 for date and/or time"
